Employee_ID,First_Name,Last_Name,Email,Hire_Date,Department,Salary,Performance_Score,Training_Hours
1,Stacey,Shaw,gkeller@example.org,2013-10-25,Finance,102806,4.8014511071186,19
2,Alicia,Williams,thomas98@example.com,2021-12-06,Sales,75200,3.115646151537756,20
3,Robert,Murray,colemandenise@example.com,2019-03-16,HR,80055,2.7904397992260774,39
4,Michelle,Mitchell,michael16@example.org,2022-07-09,HR,92891,3.4091860869489805,21
5,Beverly,Hoffman,alexshaw@example.net,2017-06-03,Sales,56304,2.973914844180637,34
6,Amber,Carpenter,elizabeth50@example.org,2021-10-11,Operations,105805,4.864371590656221,34
7,Donna,Gomez,todd89@example.org,2018-10-13,Sales,56706,4.212637653566417,15
8,Jodi,Duran,jeffery87@example.com,2020-06-18,Marketing,87197,3.3096191771762893,34
9,Jennifer,Crawford,emilyjimenez@example.org,2016-11-24,Sales,60383,2.5854459861692454,21
10,Michael,Wallace,callahanshannon@example.org,2017-12-11,Marketing,119196,3.7184653671351775,14
11,Christopher,Martinez,harrisontammy@example.com,2016-07-10,Finance,73829,2.721100890011185,28
12,Jacob,Luna,angela84@example.net,2013-12-29,Finance,61775,2.0666704268874123,31
13,Daniel,Patrick,steven08@example.com,2017-09-03,Sales,94715,2.7549685230423746,10
14,Donald,Medina,spearsdon@example.org,2020-04-14,Finance,46338,3.7758104790071814,40
15,Casey,Black,matthewbanks@example.com,2019-07-03,Marketing,76137,2.097996525481455,19
16,Thomas,Jefferson,valerie56@example.com,2020-10-01,Finance,81491,3.7177842632528644,11
17,Thomas,Miller,christina13@example.com,2015-12-27,Sales,44476,3.1056968030575565,29
18,Cody,Leonard,amandacoleman@example.net,2017-04-03,Finance,65462,3.395600871422458,34
19,Roberta,Sandoval,julieflores@example.com,2017-03-24,Marketing,111679,4.843794508142624,27
20,Joseph,Hughes,castanedasamantha@example.org,2020-01-12,IT,67459,2.4924562179501173,21
21,Jesse,Hart,dawsondaniel@example.org,2021-05-14,Sales,41263,3.0433839969533274,28
22,Kelly,Nguyen,luke77@example.org,2013-10-10,HR,118783,4.225050837909293,33
23,Melanie,Lee,marymunoz@example.org,2022-09-10,IT,117668,3.645961499334644,30
24,Amy,Pena,lawrencelindsay@example.net,2016-09-30,Sales,69778,3.959079203546742,21
25,Phillip,Davis,janethomas@example.com,2019-09-23,Finance,109487,4.566253434727649,38
26,Barbara,Martin,anthony24@example.com,2017-06-21,Marketing,90565,4.6504998921413065,15
27,Theresa,Robertson,petersondarlene@example.org,2017-05-05,IT,65678,4.251472374508863,24
28,Brandon,Rowe,jessica66@example.com,2018-02-10,Finance,79457,2.60431375355588,27
29,Jennifer,Crawford,robinsongregory@example.com,2021-11-20,HR,106153,2.256530618029357,12
30,Amanda,Stone,castrohannah@example.com,2020-05-09,Operations,119145,2.7546788197673875,10
31,John,Cox,xstewart@example.net,2021-08-02,Marketing,110585,4.646841031125822,26
32,James,Reid,stephaniebailey@example.com,2021-08-30,Sales,55411,3.216024086932692,14
33,April,Taylor,kelly55@example.com,2023-10-03,Marketing,52931,4.305155708930818,16
34,Lauren,Blake,wwilkinson@example.net,2018-05-26,Marketing,70068,3.1774688212708075,38
35,Ronald,Cunningham,shelleybrown@example.org,2016-10-05,IT,104028,2.733104027035508,15
36,Lucas,Moore,tracey31@example.net,2022-06-17,Marketing,47176,2.5802106353465515,19
37,Andrea,Kramer,edwardsjordan@example.org,2020-10-01,HR,85977,2.8076415504575163,28
38,Gabrielle,Spencer,michael88@example.com,2014-03-24,Finance,107820,2.519007564851633,28
